,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Classifiers ,DistanceKNN,,,EuclideanKNN,,,GeneralizedKNN,,,KNN,,,MahalanobisKNN,,,SeuclideanKNN,,,WminkowskiKNN,,,ManhattanKNN,,,ChebyshevKNN,,
,Fold,Accuracy,AUC,F-Measure,Accuracy,AUC,F-Measure,Accuracy,AUC,F-Measure,Accuracy,AUC,F-Measure,Accuracy,AUC,F-Measure,Accuracy,AUC,F-Measure,Accuracy,AUC,F-Measure,Accuracy,AUC,F-Measure,Accuracy,AUC,F-Measure
,Fold 1,0.9114,0.9596,0.9099,0.9059,0.9576,0.9041,0.9122,0.957,0.9106,0.9059,0.9576,0.9041,0.9541,0.9755,0.9532,0.9597,0.9785,0.959,0.9122,0.957,0.9106,0.8813,0.9445,0.878,0.856,0.9409,0.8567
,Fold 2,0.928,0.9662,0.9271,0.9241,0.9648,0.9232,0.9233,0.9648,0.9226,0.9241,0.9648,0.9232,0.966,0.9816,0.9655,0.9597,0.978,0.9589,0.9233,0.9648,0.9226,0.9019,0.9541,0.8993,0.8845,0.9547,0.8853
,Fold 3,0.913,0.9619,0.9115,0.9066,0.9598,0.9055,0.9177,0.9631,0.9168,0.9066,0.9598,0.9055,0.9502,0.978,0.949,0.9391,0.9726,0.9373,0.9177,0.9631,0.9168,0.8884,0.9506,0.8849,0.8663,0.9493,0.8674
,Fold 4,0.9438,0.9727,0.9433,0.9383,0.9713,0.9378,0.9407,0.973,0.9405,0.9383,0.9713,0.9378,0.9652,0.9869,0.9647,0.9612,0.9851,0.9606,0.9407,0.973,0.9405,0.9011,0.9606,0.8984,0.8948,0.9597,0.8957
,Fold 5,0.9217,0.9637,0.9204,0.9169,0.9616,0.9157,0.9185,0.9611,0.9176,0.9169,0.9616,0.9157,0.9494,0.975,0.9483,0.943,0.975,0.9416,0.9185,0.9611,0.9176,0.89,0.9494,0.8864,0.871,0.9474,0.8718
,Fold 6,0.9343,0.9722,0.9334,0.9264,0.9704,0.9255,0.932,0.9703,0.9314,0.9264,0.9704,0.9255,0.9628,0.9827,0.9622,0.9557,0.9826,0.9549,0.932,0.9703,0.9314,0.8956,0.9533,0.892,0.8821,0.9563,0.883
,Fold 7,0.9272,0.97,0.9261,0.924,0.9683,0.9229,0.9311,0.9703,0.9302,0.924,0.9683,0.9229,0.9588,0.9851,0.9581,0.9549,0.9796,0.954,0.9311,0.9703,0.9302,0.8923,0.9578,0.8889,0.886,0.9585,0.8864
,Fold 8,0.9264,0.9692,0.9254,0.9248,0.9679,0.9239,0.924,0.9699,0.9234,0.9248,0.9679,0.9239,0.9541,0.9773,0.9531,0.9549,0.9755,0.954,0.924,0.9699,0.9234,0.8939,0.951,0.8904,0.8852,0.9629,0.886
,Fold 9,0.9248,0.9689,0.9239,0.9177,0.9672,0.9168,0.9272,0.9678,0.9265,0.9177,0.9672,0.9168,0.958,0.9785,0.9573,0.9549,0.9791,0.954,0.9272,0.9678,0.9265,0.8876,0.9495,0.8839,0.8765,0.9557,0.8774
,Fold 10,0.9327,0.9678,0.9316,0.9248,0.9662,0.9237,0.9335,0.9689,0.9326,0.9248,0.9662,0.9237,0.9652,0.9839,0.9647,0.9604,0.9803,0.9598,0.9335,0.9689,0.9326,0.8979,0.9566,0.895,0.8804,0.9565,0.881
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
