Classifiers ,DistanceKNN,,,EuclideanKNN,,,GeneralizedKNN,,,KNN,,,MahalanobisKNN,,,SeuclideanKNN,,,WminkowskiKNN,,,ManhattanKNN,,,ChebyshevKNN,,
Fold,Accuracy,AUC,F-Measure,Accuracy,AUC,F-Measure,Accuracy,AUC,F-Measure,Accuracy,AUC,F-Measure,Accuracy,AUC,F-Measure,Accuracy,AUC,F-Measure,Accuracy,AUC,F-Measure,Accuracy,AUC,F-Measure,Accuracy,AUC,F-Measure
Fold 1,0.9871,0.9956,0.9864,0.9855,0.9956,0.9848,0.9864,0.9956,0.9858,0.9855,0.9956,0.9848,0.9951,0.9987,0.9949,0.9960,0.9989,0.9959,0.9864,0.9956,0.9858,0.9834,0.9941,0.9821,0.9791,0.9939,0.9783
Fold 2,0.9897,0.9966,0.9891,0.9885,0.9966,0.9879,0.9889,0.9968,0.9884,0.9885,0.9966,0.9879,0.9962,0.9987,0.9961,0.9959,0.9987,0.9958,0.9889,0.9968,0.9884,0.9845,0.9953,0.9833,0.9833,0.9953,0.9826
Fold 3,0.9887,0.9962,0.9883,0.9878,0.9962,0.9873,0.9891,0.9965,0.9887,0.9878,0.9962,0.9873,0.9953,0.9985,0.9951,0.9953,0.9986,0.9951,0.9891,0.9965,0.9887,0.9846,0.9952,0.9835,0.9840,0.9954,0.9835
Fold 4,0.9906,0.9970,0.9903,0.9897,0.9970,0.9893,0.9906,0.9969,0.9903,0.9897,0.9970,0.9893,0.9963,0.9990,0.9962,0.9960,0.9987,0.9959,0.9906,0.9969,0.9903,0.9863,0.9955,0.9855,0.9850,0.9954,0.9846
Fold 5,0.9883,0.9954,0.9876,0.9871,0.9953,0.9865,0.9873,0.9955,0.9867,0.9871,0.9953,0.9865,0.9945,0.9981,0.9943,0.9941,0.9982,0.9940,0.9873,0.9955,0.9867,0.9837,0.9946,0.9824,0.9824,0.9945,0.9818
Fold 6,0.9900,0.9970,0.9897,0.9884,0.9970,0.9880,0.9897,0.9973,0.9894,0.9884,0.9970,0.9880,0.9967,0.9989,0.9966,0.9970,0.9989,0.9970,0.9897,0.9973,0.9894,0.9847,0.9955,0.9836,0.9833,0.9953,0.9829
Fold 7,0.9893,0.9966,0.9888,0.9883,0.9966,0.9878,0.9897,0.9967,0.9892,0.9883,0.9966,0.9878,0.9957,0.9990,0.9956,0.9953,0.9988,0.9951,0.9897,0.9967,0.9892,0.9847,0.9956,0.9834,0.9832,0.9951,0.9826
Fold 8,0.9895,0.9965,0.9890,0.9886,0.9965,0.9881,0.9896,0.9967,0.9892,0.9886,0.9965,0.9881,0.9953,0.9988,0.9952,0.9957,0.9988,0.9956,0.9896,0.9967,0.9892,0.9849,0.9950,0.9838,0.9839,0.9956,0.9833
Fold 9,0.9898,0.9965,0.9894,0.9891,0.9965,0.9886,0.9891,0.9966,0.9887,0.9891,0.9965,0.9886,0.9959,0.9988,0.9958,0.9961,0.9987,0.9960,0.9891,0.9966,0.9887,0.9845,0.9952,0.9834,0.9841,0.9955,0.9835
Fold 10,0.9895,0.9965,0.9890,0.9879,0.9964,0.9873,0.9886,0.9967,0.9881,0.9879,0.9964,0.9873,0.9957,0.9988,0.9956,0.9955,0.9985,0.9954,0.9886,0.9967,0.9881,0.9841,0.9951,0.9828,0.9829,0.9951,0.9823
